Boekjaar;Week;Datum;Persnr;Uren;Uurcode
2021;45;01/06/2020;310;4,25;G
2020;23;01/06/2020;310;4,25;TZFG100
2020;23;03/06/2020;310;4,75;G
2020;23;04/06/2020;310;4;G
2020;23;04/06/2020;310;0,25;TAG50
2020;23;06/06/2020;310;4,75;G
2020;23;07/06/2020;310;5;G
2020;23;07/06/2020;310;5;TZFG100
2020;23;02/06/2020;2880;6,5;G
2020;23;04/06/2020;2880;4;G
2020;23;01/06/2020;6381;3,5;G
2020;23;01/06/2020;6381;3,5;TZFG100
2020;23;05/06/2020;6381;2,5;G
2020;23;05/06/2020;6381;0,25;TAG50
2020;23;07/06/2020;6381;3,5;G
2020;23;07/06/2020;6381;3,5;TZFG100
2020;23;02/06/2020;8641;3,75;G
2020;23;03/06/2020;8641;4,25;G
2020;23;05/06/2020;8641;0,5;G
2020;23;01/06/2020;3747;4;G
2020;23;01/06/2020;3747;4;TZFG100
2020;23;05/06/2020;3747;5;G
2020;23;06/06/2020;3747;3,75;G
2020;23;02/06/2020;4443;4,25;G
2020;23;03/06/2020;4443;3;G
2020;23;05/06/2020;4443;5;G
2020;23;06/06/2020;4443;5;G
2020;23;01/06/2020;4785;3,5;G
2020;23;01/06/2020;4785;3,5;TZFG100
2020;23;05/06/2020;4785;3,5;G
2020;23;06/06/2020;4785;6,5;G
2020;23;07/06/2020;4785;4,75;G
2020;23;07/06/2020;4785;4,75;TZFG100
2020;23;02/06/2020;8618;6,5;G
2020;23;03/06/2020;8618;4,75;G
2020;23;04/06/2020;8618;8,5;G
2020;23;04/06/2020;8618;0,5;TAG50
2020;23;06/06/2020;8618;6,5;G
2020;23;02/06/2020;3141;5;G
2020;23;06/06/2020;3141;3;G
2020;23;01/06/2020;455;3,5;G
2020;23;01/06/2020;455;3,5;TZFG100
2020;23;04/06/2020;455;2,5;G
2020;23;04/06/2020;455;0,25;TAG50
2020;23;07/06/2020;455;3,25;G
2020;23;07/06/2020;455;3,25;TZFG100
2020;23;01/06/2020;8720;3,5;G
2020;23;01/06/2020;8720;3,5;TZFG100
2020;23;01/06/2020;4444;5,25;G
2020;23;01/06/2020;4444;5,25;TZFT100
2020;23;03/06/2020;4444;8,75;G
2020;23;04/06/2020;4444;8,75;G
2020;23;04/06/2020;4444;0,5;TAT50
2020;23;06/06/2020;4444;8,5;G
2020;23;03/06/2020;9544;4;G
2020;23;05/06/2020;9544;4;G
2020;23;05/06/2020;9544;0,25;TAG50
2020;23;06/06/2020;9544;5,75;G
2020;23;02/06/2020;8195;4,25;G
2020;23;02/06/2020;8195;0,5;TOG50
2020;23;06/06/2020;8195;4,5;G
2020;23;01/06/2020;8042;3,5;G
2020;23;01/06/2020;8042;3,5;TZFG100
2020;23;03/06/2020;8042;2;G
2020;23;06/06/2020;8042;2,5;G
2020;23;06/06/2020;8042;0,25;TAG50
2020;23;01/06/2020;1949;4;G
2020;23;01/06/2020;1949;4;TZFG100
2020;23;06/06/2020;1949;9;G
2020;23;02/06/2020;5625;4;G
2020;23;02/06/2020;5625;4,5;G
2020;23;02/06/2020;5625;0,5;TAG50
2020;23;04/06/2020;5625;4,5;G
2020;23;05/06/2020;5625;3;G
2020;23;07/06/2020;5625;5,25;G
2020;23;07/06/2020;5625;5,25;TZFG100
2020;23;01/06/2020;7482;8,25;G
2020;23;01/06/2020;7482;8,25;TZFT100
2020;23;04/06/2020;7482;5,75;G
2020;23;05/06/2020;7482;6,25;G
2020;23;06/06/2020;7482;5,5;G
2020;23;02/06/2020;256;4,25;G
2020;23;02/06/2020;256;0,25;TAG50
2020;23;03/06/2020;256;4,25;G
2020;23;03/06/2020;256;0,25;TAG50
2020;23;05/06/2020;256;4,25;G
2020;23;05/06/2020;256;0,5;TAG50
2020;23;07/06/2020;256;6;G
2020;23;07/06/2020;256;6;TZFG100
2020;23;03/06/2020;9543;8;G
2020;23;03/06/2020;9543;0,25;TAG50
2020;23;04/06/2020;9543;8,25;G
2020;23;04/06/2020;9543;0,5;TAG50
2020;23;05/06/2020;9543;5;G
2020;23;05/06/2020;9543;0,5;TAG50
2020;23;06/06/2020;9543;8,25;G
2020;23;06/06/2020;9543;0,25;TAG50
2020;23;01/06/2020;8745;7,5;G
2020;23;01/06/2020;8745;7,5;TZFT100
2020;23;03/06/2020;8745;5;G
2020;23;06/06/2020;8745;5,75;G
2020;23;07/06/2020;8745;5,25;G
2020;23;07/06/2020;8745;5,25;TZFT100
2020;23;01/06/2020;6230;3;G
2020;23;01/06/2020;6230;3;TZFG100
2020;23;04/06/2020;6230;2;G
2020;23;01/06/2020;4223;4;G
2020;23;01/06/2020;4223;4;TZFG100
2020;23;02/06/2020;4223;9,25;G
2020;23;03/06/2020;4223;5,25;G
2020;23;04/06/2020;4223;5;G
2020;23;02/06/2020;7201;5,5;G
2020;23;03/06/2020;7201;6;G
2020;23;04/06/2020;7201;3,75;G
2020;23;05/06/2020;7201;5,75;G
2020;23;02/06/2020;9379;4;G
2020;23;03/06/2020;9379;4,5;G
2020;23;04/06/2020;9379;2;G
2020;23;06/06/2020;9379;4,5;G
2020;23;01/06/2020;7446;3,5;G
2020;23;01/06/2020;7446;3,5;TZFG100
2020;23;03/06/2020;7446;2;G
2020;23;04/06/2020;7446;4;G
2020;23;04/06/2020;7446;0,25;TAG50
2020;23;02/06/2020;7200;2,5;G
2020;23;02/06/2020;7200;0,25;TAG50
2020;23;04/06/2020;7200;4;G
2020;23;04/06/2020;7200;0,25;TAG50
2020;23;06/06/2020;7200;4,75;G
2020;23;01/06/2020;1967;3,25;G
2020;23;01/06/2020;1967;3,25;TZFG100
